date,avg,min,max
2025-09-08,7.085385248496064E-5,5.7258093875064385E-5,9.508246148481126E-5
2025-09-09,1.0509415276448958E-4,7.96810127212329E-5,1.3203379057826617E-4
2025-09-11,9.457256217337944E-5,6.546259828607577E-5,1.1587239714584803E-4
2025-09-12,1.1537294369831827E-4,1.0469056724100604E-4,1.29170090076654E-4
2025-09-13,8.328031473750766E-5,6.246608245411704E-5,9.729002340474498E-5
2025-09-14,8.354332386451665E-5,6.543056224460175E-5,1.0427259258005002E-4
2025-09-15,1.1347532478097858E-4,9.664120443619153E-5,1.2695480836569164E-4
2025-09-16,9.133828631002309E-5,7.484886737065555E-5,1.0495816968625645E-4
2025-09-17,1.1330703807941056E-4,8.035616338004661E-5,1.498499623268609E-4
2025-09-18,1.4321222010574267E-4,1.310776684588037E-4,1.5096385241702108E-4
2025-09-19,8.16888622506861E-5,6.26764667685309E-5,1.1376185664392081E-4
2025-09-20,7.56566304076273E-5,5.776354009860586E-5,9.22779436224212E-5
2025-09-21,1.1445983173668173E-4,7.567153079425981E-5,1.4080379332896727E-4
2025-09-22,1.0448226379706223E-4,8.820230141272085E-5,1.157457046678393E-4
2025-09-23,1.1629698157825329E-4,8.21243819682383E-5,1.4790308341643355E-4
2025-09-24,7.101505493999027E-5,6.33763702352688E-5,7.871519483168785E-5
2025-09-25,8.055710981810418E-5,6.930700328663785E-5,9.317156743027295E-5
2025-09-26,1.0678328208021269E-4,9.813786891742723E-5,1.4382228255297767E-4
2025-09-27,1.0644814290851511E-4,8.18061307653135E-5,1.3424221833726308E-4
2025-09-28,9.193626063599789E-5,6.585399751199418E-5,9.846763350669302E-5
2025-09-29,7.369276793636128E-5,6.281588866828908E-5,9.007311018665681E-5
2025-09-30,7.668938014460995E-5,5.45078801223342E-5,9.213277371616833E-5
2025-10-01,9.143415405383961E-5,7.490253199569967E-5,1.111579840653106E-4
2025-10-02,9.345479341812218E-5,6.441492587320084E-5,1.1087971506652369E-4
2025-10-03,8.564059408131535E-5,7.460623081955635E-5,9.57291485976286E-5
2025-10-04,1.2562614948308226E-4,1.0766053310341815E-4,1.4525601000073897E-4
2025-10-05,1.102701001210919E-4,9.235117613559478E-5,1.2047103518874621E-4
2025-10-06,1.00264836837379E-4,8.164913015197297E-5,1.2118012091399534E-4
2025-10-07,9.173438067270229E-5,5.617720153260027E-5,1.1868774367324679E-4
2025-10-08,9.05468653361461E-5,5.859392695117593E-5,1.0583610199164744E-4
